t,value
358,-0.026006103
359,0.066027164
360,0.19778168
361,1.0
362,0.9280522
363,0.92205656
364,0.57595754
365,-0.653751
366,-0.14397061
367,-0.119987965
368,-0.6897249
369,-0.45349622
370,-0.3440755
371,-0.60923326
372,-0.54223186
373,-0.5672637
374,-0.53638613
375,-0.26868016
376,-0.62886906
377,-0.6474556
378,-0.6456569
379,-0.6368133
380,-0.6407105
381,-0.5230458
382,-0.28696692
383,-0.3646106
384,-0.67233753
385,-0.60413694
386,-0.6492543
387,-0.61343026
388,-0.4902196
389,-0.204077
390,-0.37165552
391,-0.6048864
392,-0.60728467
393,-0.6042869
394,-0.61537886
395,-0.45829272
396,0.18893802
397,-0.31589597
398,-0.37765115
399,-0.66229486
400,-0.48752153
401,-0.5913962
402,-0.5939444
403,-0.48362434
404,-0.67053884
405,-0.29026455
406,-0.34197706
407,-0.591696
408,-0.5197482
409,-0.36730868
410,-0.11519146
411,-0.270329
412,-0.5952934
413,-0.5744585
414,-0.5384846
415,-0.4085288
416,-0.1796447
417,0.26987934
418,-0.010417402
419,-0.60608554
420,-0.6405606
421,-0.63366556
422,-0.58405155
423,-0.3772015
424,0.021059752
425,-0.6185266
426,-0.6194259
427,-0.62886906
428,-0.50251067
429,-0.60638535
430,-0.5857004
431,-0.5270928
432,-0.66109574
433,-0.051187873
434,-0.30060703
435,-0.57535785
436,-0.6071348
437,-0.4483999
438,-0.18998724
439,-0.35906464
440,-0.5955932
441,-0.6108821
442,-0.5934947
443,-0.5435809
444,-0.20557594
445,-0.067076325
446,-0.286817
447,-0.5798546
448,-0.5984411
449,-0.58225286
450,-0.56651425
451,-0.4881211
452,-0.2304579
453,-0.38004947
454,-0.6564491
455,-0.07247245
456,-0.61477923
457,-0.6039871
458,-0.4902196
459,-0.55482274
460,-0.6008394
461,-0.55287415
462,-0.63366556
463,-0.51705015
464,0.3140973
465,-0.45559466
466,-0.56666416
467,-0.39518845
468,-0.61328036
469,-0.28232032
470,-0.5720602
471,-0.5329386
472,-0.48557293
473,-0.31724495
474,-0.5125534
475,-0.6898748
476,-0.5864498
477,-0.5315896
478,-0.649704
479,-0.5065577
480,-0.29026455
481,-0.36326164
482,-0.67158806
483,-0.6447575
484,-0.49231803
485,-0.12973094
486,-0.5621674
487,-0.57131076
488,-0.20542604
489,-0.70966053
490,-0.59769166
491,-0.44330359
492,-0.5852507
493,-0.4969647
494,0.058232784
495,-0.61313045
496,-0.45409578
497,-0.755827
498,-0.6853781
499,-0.6625946
500,-0.5910964
501,-0.37974966
502,-0.5219965
503,-0.7078618
504,-0.61013263
505,-0.6525519
506,-0.61897624
507,-0.53338826
508,-0.37495315
509,-0.54882705
510,-0.66394365
511,0.23750281
512,-0.39159107
513,-0.44600165
514,-0.32743758
515,-0.19133627
516,-0.19538331
517,-0.51135427
518,-0.51090455
519,-0.40043467
520,-0.6565989
521,-0.5377351
522,-0.52859175
523,-0.5934947
524,-0.29850858
525,-0.63651353
526,-0.612381
527,-0.12598366
528,-0.4307127
529,-0.47388142
530,-0.5258937
531,-0.6090834
532,-0.6089335
533,-0.58779883
534,-0.5605186
535,-0.5055085
536,-0.33778012
537,-0.5284419
538,-0.62407255
539,-0.62886906
540,-0.5984411
541,-0.56936216
542,-0.46233976
543,-0.2575882
544,-0.48722178
545,-0.58510077
546,-0.2877164
547,-0.47792846
548,-0.24484748
549,-0.667541
550,-0.6518024
551,-0.37195534
552,-0.5942441
553,-0.61148167
554,-0.45289665
555,-0.61013263
556,-0.49831372
557,-0.29865843
558,-0.53698564
559,-0.61223114
560,-0.60863376
561,-0.6155287
562,-0.60653526
563,-0.56936216
564,-0.45154762
565,-0.50520873
566,-0.6104324
567,-0.61058235
568,-0.5982912
569,-0.58105373
570,-0.5590197
571,-0.47523046
572,-0.53923404
573,-0.63576406
574,-0.6503035
575,-0.39323986
576,-0.57011163
577,-0.35591692
578,-0.1504159
579,-0.11234355
580,-0.653751
581,-0.5398336
582,-0.48302478
583,-0.6017387
584,-0.5053586
585,-0.66454315
586,-0.569662
587,-0.26868016
588,-0.60413694
589,-0.53278875
590,-0.51600087
591,-0.45589447
592,-0.38559544
593,-0.42726523
594,-0.5291913
595,-0.48032677
596,-0.55212474
597,-0.53503704
598,-0.48767143
599,-0.36955702
600,-0.44795024
601,-0.5759574
602,-0.54792774
603,-0.5145019
604,-0.51285315
605,-0.46998423
606,-0.2665817
607,-0.38979238
608,-0.5512253
609,-0.30360484
610,-0.22326308
611,-0.60353744
612,-0.6062355
613,-0.58615005
614,-0.59874094
615,-0.46758598
616,-0.551675
617,-0.441355
618,-0.45379597
619,-0.6057858
620,-0.32114214
621,-0.35546726
622,-0.6176272
623,-0.62392265
624,-0.6222738
625,-0.6341152
626,-0.53638613
627,-0.33658093
628,-0.45559466
629,-0.6769842
630,-0.57535785
631,-0.58899796
632,-0.34497488
633,-0.31049985
634,-0.19328487
635,-0.39249045
636,-0.57161057
637,-0.5879487
638,-0.50161135
639,-0.5991906
640,-0.45574456
641,-0.62182415
642,-0.47508055
643,-0.5182493
644,-0.564116
645,-0.5191486
646,-0.5386345
647,-0.46293938
648,-0.6901746
649,-0.57730645
650,-0.6562992
651,-0.63771266
652,-0.63921154
653,-0.6251218
654,-0.5050588
655,-0.25039345
656,-0.40613055
657,-0.6847785
658,-0.69512105
659,-0.68807614
660,-0.67548525
661,-0.56156784
662,-0.3277374
663,-0.41752225
664,-0.69497114
665,-0.67833316
666,-0.659297
667,-0.6627445
668,-0.54822755
669,-0.2614854
670,-0.56876266
671,-0.6389118
672,-0.49156862
673,-0.5537735
674,-0.49036944
675,-0.5028105
676,-0.5876489
677,-0.50415945
678,-0.2752754
679,-0.6011392
680,-0.5387844
681,-0.17334932
682,-0.4101776
683,-0.1660046
684,-0.31844413
685,-0.60458666
686,-0.12463462
687,-0.3152964
688,-0.34167725
689,-0.30030727
690,-0.1301806
691,-0.31229854
692,-0.602788
693,-0.5970921
694,-0.60158885
695,-0.5975418
696,-0.43655849
697,-0.1838417
698,-0.3481226
699,-0.43805736
700,-0.54118264
701,-0.6498538
702,-0.27437603
703,-0.7246496
704,-0.286817
705,-0.4133253
706,-0.5494267
707,-0.4609908
